Time UTC,Hex,Callsign,Altitude,Speed,Latitude,Longitude
2025-05-04 23:59:42,7C6D9B,,,283,,
2025-05-05 00:00:36,C82757,,21125,,,
2025-05-05 00:03:56,7C6D28,,,,,
2025-05-05 00:10:04,7C6D9F,,,342,,
2025-05-05 00:11:49,7C6DE4,,25100,,,
2025-05-05 00:20:39,B2141E,,,,,
2025-05-05 00:21:00,7C7802,,18375,,,
2025-05-05 00:28:35,7C6DE6,,18200,,,
2025-05-05 00:41:37,7C6C9C,,,,,
2025-05-05 00:45:48,C82B0B,,,,,
2025-05-05 00:47:34,7C6696,,,195,,
2025-05-05 00:48:18,7C78AA,,,,,
2025-05-05 00:53:21,7C045C,,,350,,
2025-05-05 01:00:11,7C6D29,,,,,
2025-05-05 01:06:58,7CB05C,QLK47D,,,,
2025-05-05 01:09:20,7C6C97,,,,,
2025-05-05 01:10:27,7C495B,,,,,
2025-05-05 01:12:41,7C6DB4,,,300,,
2025-05-05 01:15:33,7C7C76,,,,,
2025-05-05 01:21:10,7C6B38,,,,,
2025-05-05 01:22:40,7C6DD5,,,,,
2025-05-05 01:26:18,7C7CD1,,,407,,
2025-05-05 01:29:50,542D64,,,,,
2025-05-05 01:30:46,7C6DE2,,,293,,
2025-05-05 01:32:20,A31A76,,,,,
